AERONET Data Download (Version 3 Direct Sun and Inversion Algorithms)
AERONET Version 3
BONDVILLE
Version 3: Almucantar Level 2.0 Inversion
The following data are automatically cloud cleared and quality assured with pre-field and post-field calibration applied.
Daily Averages,Contact: PI=Christopher_M.B._Lehmann_and_Pawan_Gupta_and_Elena_Lind; PI Email=clehmann@illinois.edu_and_pawan.gupta@nasa.gov_and_elena.lind@nasa.gov 
AERONET_AERONET_Site,Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,Day_of_Year(fraction),Asymmetry_Factor-Total[440nm],Asymmetry_Factor-Total[675nm],Asymmetry_Factor-Total[870nm],Asymmetry_Factor-Total[1020nm],Asymmetry_Factor-Fine[440nm],Asymmetry_Factor-Fine[675nm],Asymmetry_Factor-Fine[870nm],Asymmetry_Factor-Fine[1020nm],Asymmetry_Factor-Coarse[440nm],Asymmetry_Factor-Coarse[675nm],Asymmetry_Factor-Coarse[870nm],Asymmetry_Factor-Coarse[1020nm],Sphericity_Factor(%),N[Asymmetry_Factor-Total[440nm]],N[Asymmetry_Factor-Total[675nm]],N[Asymmetry_Factor-Total[870nm]],N[Asymmetry_Factor-Total[1020nm]],N[Asymmetry_Factor-Fine[440nm]],N[Asymmetry_Factor-Fine[675nm]],N[Asymmetry_Factor-Fine[870nm]],N[Asymmetry_Factor-Fine[1020nm]],N[Asymmetry_Factor-Coarse[440nm]],N[Asymmetry_Factor-Coarse[675nm]],N[Asymmetry_Factor-Coarse[870nm]],N[Asymmetry_Factor-Coarse[1020nm]],N[Sphericity_Factor(%)],Latitude(Degrees),Longitude(Degrees),Elevation(m),Level,Retrieval_Measurement_Scan_Type
BONDVILLE,21:05:2023,12:00:00,141,141.000000,0.668399,0.606979,0.572004,0.558278,0.657911,0.588232,0.537531,0.503628,0.900263,0.788858,0.750579,0.739479,-999.000000,4,4,4,4,4,4,4,4,4,4,4,4,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,23:05:2023,12:00:00,143,143.000000,0.682806,0.615431,0.574029,0.556447,0.669989,0.590639,0.528350,0.484878,0.983931,0.849724,0.800644,0.782504,-999.000000,8,8,8,8,8,8,8,8,8,8,8,8,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,24:05:2023,12:00:00,144,144.000000,0.690425,0.623825,0.587019,0.572982,0.675807,0.594970,0.533430,0.489807,0.998474,0.861067,0.815535,0.798016,-999.000000,5,5,5,5,5,5,5,5,5,5,5,5,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,25:05:2023,12:00:00,145,145.000000,0.699984,0.661695,0.647692,0.643985,0.666166,0.611936,0.566199,0.531570,1.010125,0.875689,0.844052,0.827864,-999.000000,2,2,2,2,2,2,2,2,2,2,2,2,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,26:05:2023,12:00:00,146,146.000000,0.691362,0.654161,0.642301,0.639871,0.657745,0.607033,0.565410,0.532855,0.958685,0.828407,0.798622,0.787118,-999.000000,8,8,8,8,8,8,8,8,8,8,8,8,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,27:05:2023,12:00:00,147,147.000000,0.683176,0.637073,0.624164,0.623898,0.649155,0.583106,0.537179,0.505856,0.984897,0.843663,0.805255,0.789549,-999.000000,4,4,4,4,4,4,4,4,4,4,4,4,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,31:05:2023,12:00:00,151,151.000000,0.673074,0.616222,0.586038,0.578624,0.654361,0.576095,0.511931,0.467063,0.874066,0.785114,0.748086,0.734917,-999.000000,2,2,2,2,2,2,2,2,2,2,2,2,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,01:06:2023,12:00:00,152,152.000000,0.706973,0.627081,0.581106,0.563836,0.694924,0.598315,0.526509,0.479291,0.965258,0.853716,0.807061,0.787328,-999.000000,3,3,3,3,3,3,3,3,3,3,3,3,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,02:06:2023,12:00:00,153,153.000000,0.682632,0.636927,0.620709,0.618149,0.650711,0.582319,0.527201,0.487365,1.021810,0.873742,0.835538,0.816272,-999.000000,7,7,7,7,7,7,7,7,7,7,7,7,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,03:06:2023,12:00:00,154,154.000000,0.692728,0.615576,0.583440,0.574286,0.670282,0.569481,0.498941,0.449452,0.976931,0.848448,0.802952,0.782309,-999.000000,2,2,2,2,2,2,2,2,2,2,2,2,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,04:06:2023,12:00:00,155,155.000000,0.699437,0.640202,0.582409,0.539067,0.697051,0.636531,0.575880,0.528661,1.205624,0.974502,0.888823,0.847485,-999.000000,1,1,1,1,1,1,1,1,1,1,1,1,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,05:06:2023,12:00:00,156,156.000000,0.693341,0.606172,0.564509,0.547947,0.679377,0.580798,0.517946,0.475696,1.080297,0.900049,0.841645,0.817633,-999.000000,4,4,4,4,4,4,4,4,4,4,4,4,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,07:06:2023,12:00:00,158,158.000000,0.688425,0.615728,0.564218,0.533340,0.682045,0.604381,0.543868,0.501302,1.074346,0.908109,0.844409,0.815426,-999.000000,5,5,5,5,5,5,5,5,5,5,5,5,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,08:06:2023,12:00:00,159,159.000000,0.688608,0.612110,0.571365,0.556683,0.673134,0.582403,0.515810,0.469757,1.016857,0.865000,0.811805,0.792123,-999.000000,7,7,7,7,7,7,7,7,7,7,7,7,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,09:06:2023,12:00:00,160,160.000000,0.677167,0.625631,0.588090,0.569144,0.665563,0.606774,0.553982,0.514846,1.030543,0.873288,0.824075,0.806729,-999.000000,2,2,2,2,2,2,2,2,2,2,2,2,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,10:06:2023,12:00:00,161,161.000000,0.684735,0.623979,0.577722,0.553866,0.672344,0.599276,0.527534,0.471160,0.968015,0.846069,0.802841,0.786629,-999.000000,2,2,2,2,2,2,2,2,2,2,2,2,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,12:06:2023,12:00:00,163,163.000000,0.691374,0.616446,0.573984,0.553947,0.680030,0.595925,0.535561,0.493223,1.050683,0.899389,0.844714,0.823161,-999.000000,5,5,5,5,5,5,5,5,5,5,5,5,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,14:06:2023,12:00:00,165,165.000000,0.719909,0.611091,0.533952,0.482625,0.718254,0.607638,0.527218,0.471536,1.034767,0.886110,0.823029,0.792485,-999.000000,1,1,1,1,1,1,1,1,1,1,1,1,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,15:06:2023,12:00:00,166,166.000000,0.707499,0.648278,0.600332,0.568151,0.699786,0.637049,0.581287,0.539265,1.031700,0.873014,0.819716,0.796074,-999.000000,3,3,3,3,3,3,3,3,3,3,3,3,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,16:06:2023,12:00:00,167,167.000000,0.697563,0.620255,0.554404,0.507216,0.695739,0.616853,0.547880,0.496354,1.080014,0.910166,0.843927,0.813362,-999.000000,5,5,5,5,5,5,5,5,5,5,5,5,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,17:06:2023,12:00:00,168,168.000000,0.693835,0.623332,0.559184,0.513578,0.691714,0.619354,0.551194,0.499413,0.985882,0.852978,0.798309,0.777169,-999.000000,6,6,6,6,6,6,6,6,6,6,6,6,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,20:06:2023,12:00:00,171,171.000000,0.689716,0.636348,0.583952,0.550347,0.683098,0.624843,0.562283,0.514406,1.015274,0.881909,0.827630,0.804793,-999.000000,7,7,7,7,7,7,7,7,7,7,7,7,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,21:06:2023,12:00:00,172,172.000000,0.718203,0.644598,0.591441,0.562134,0.711885,0.631599,0.562354,0.510582,0.902045,0.800166,0.771162,0.762017,-999.000000,3,3,3,3,3,3,3,3,3,3,3,3,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,24:06:2023,12:00:00,175,175.000000,0.699487,0.619646,0.564125,0.532494,0.689273,0.599040,0.525470,0.472861,0.975445,0.847916,0.796319,0.774087,-999.000000,7,7,7,7,7,7,7,7,7,7,7,7,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,25:06:2023,12:00:00,176,176.000000,0.725367,0.674270,0.661326,0.661552,0.667482,0.566715,0.492621,0.444681,0.999263,0.858518,0.814895,0.789967,-999.000000,2,2,2,2,2,2,2,2,2,2,2,2,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,26:06:2023,12:00:00,177,177.000000,0.733663,0.673908,0.618809,0.580922,0.730367,0.667920,0.607689,0.562891,1.016660,0.891212,0.837997,0.813461,-999.000000,2,2,2,2,2,2,2,2,2,2,2,2,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,27:06:2023,12:00:00,178,178.000000,0.720261,0.650923,0.595939,0.557861,0.718684,0.648433,0.591645,0.550968,1.031290,0.876700,0.813198,0.786055,-999.000000,6,6,6,6,6,6,6,6,6,6,6,6,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,30:06:2023,12:00:00,181,181.000000,0.731134,0.683346,0.648311,0.634357,0.712944,0.646697,0.575363,0.520203,0.904006,0.817857,0.789179,0.778438,-999.000000,2,2,2,2,2,2,2,2,2,2,2,2,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,03:07:2023,12:00:00,184,184.000000,0.644842,0.515726,0.472798,0.466240,0.631114,0.478716,0.400650,0.356507,0.909162,0.815947,0.780256,0.766393,-999.000000,1,1,1,1,1,1,1,1,1,1,1,1,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,04:07:2023,12:00:00,185,185.000000,0.707970,0.623576,0.571443,0.546468,0.700068,0.604960,0.534643,0.487078,0.925885,0.826700,0.785717,0.770050,-999.000000,2,2,2,2,2,2,2,2,2,2,2,2,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,05:07:2023,12:00:00,186,186.000000,0.711370,0.628008,0.577844,0.556871,0.701769,0.604225,0.528027,0.474739,0.926461,0.827594,0.792667,0.779407,-999.000000,2,2,2,2,2,2,2,2,2,2,2,2,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,07:07:2023,12:00:00,188,188.000000,0.670187,0.591166,0.563231,0.560733,0.651021,0.549045,0.487385,0.448621,1.023705,0.864341,0.818337,0.798307,-999.000000,2,2,2,2,2,2,2,2,2,2,2,2,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,08:07:2023,12:00:00,189,189.000000,0.715939,0.645214,0.613423,0.597679,0.710843,0.635585,0.596274,0.570418,1.036588,0.912285,0.864385,0.845104,-999.000000,1,1,1,1,1,1,1,1,1,1,1,1,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,09:07:2023,12:00:00,190,190.000000,0.690285,0.606228,0.570139,0.556694,0.679171,0.581492,0.524901,0.489302,0.921646,0.819408,0.778509,0.761358,-999.000000,2,2,2,2,2,2,2,2,2,2,2,2,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,10:07:2023,12:00:00,191,191.000000,0.663200,0.580861,0.553641,0.549539,0.644172,0.538926,0.479393,0.445382,1.000090,0.862387,0.815734,0.792750,-999.000000,2,2,2,2,2,2,2,2,2,2,2,2,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,11:07:2023,12:00:00,192,192.000000,0.684524,0.612232,0.572155,0.558973,0.668131,0.575200,0.499782,0.446670,0.942319,0.829246,0.789114,0.771436,-999.000000,5,5,5,5,5,5,5,5,5,5,5,5,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,12:07:2023,12:00:00,193,193.000000,0.669894,0.624567,0.612394,0.619115,0.638642,0.550144,0.470040,0.413332,0.934797,0.831915,0.807923,0.793880,-999.000000,2,2,2,2,2,2,2,2,2,2,2,2,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,14:07:2023,12:00:00,195,195.000000,0.682170,0.598843,0.563535,0.554550,0.666538,0.564411,0.498528,0.457288,0.964785,0.858673,0.830596,0.816801,-999.000000,3,3,3,3,3,3,3,3,3,3,3,3,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,16:07:2023,12:00:00,197,197.000000,0.705874,0.625433,0.567180,0.523981,0.703704,0.622148,0.561497,0.515492,1.197397,0.960901,0.882531,0.842591,-999.000000,2,2,2,2,2,2,2,2,2,2,2,2,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,17:07:2023,12:00:00,198,198.000000,0.710373,0.630707,0.566883,0.521160,0.708453,0.627377,0.560759,0.511355,1.116434,0.929717,0.857646,0.823328,-999.000000,2,2,2,2,2,2,2,2,2,2,2,2,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,18:07:2023,12:00:00,199,199.000000,0.711668,0.635984,0.573872,0.532019,0.706651,0.626629,0.554538,0.498220,0.972890,0.845344,0.798425,0.778893,-999.000000,5,5,5,5,5,5,5,5,5,5,5,5,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,20:07:2023,12:00:00,201,201.000000,0.683168,0.631976,0.610826,0.606364,0.647820,0.564110,0.495944,0.449546,0.881414,0.787244,0.749596,0.732795,-999.000000,1,1,1,1,1,1,1,1,1,1,1,1,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,22:07:2023,12:00:00,203,203.000000,0.681692,0.623189,0.570965,0.536146,0.677020,0.614837,0.555145,0.509899,0.967599,0.846364,0.795964,0.773991,-999.000000,5,5,5,5,5,5,5,5,5,5,5,5,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,23:07:2023,12:00:00,204,204.000000,0.715138,0.678224,0.630401,0.597578,0.709468,0.670664,0.616388,0.573767,0.914332,0.806221,0.762382,0.746698,-999.000000,1,1,1,1,1,1,1,1,1,1,1,1,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,24:07:2023,12:00:00,205,205.000000,0.697430,0.664105,0.618917,0.586997,0.692202,0.657289,0.607235,0.568227,0.954199,0.833053,0.788273,0.767905,-999.000000,6,6,6,6,6,6,6,6,6,6,6,6,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,25:07:2023,12:00:00,206,206.000000,0.701015,0.647850,0.602358,0.574780,0.692531,0.633203,0.575641,0.532983,0.961019,0.837836,0.793159,0.772349,-999.000000,4,4,4,4,4,4,4,4,4,4,4,4,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,26:07:2023,12:00:00,207,207.000000,0.707086,0.656635,0.644311,0.647625,0.666091,0.571974,0.490831,0.432389,0.891379,0.789847,0.767663,0.756896,-999.000000,3,3,3,3,3,3,3,3,3,3,3,3,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,27:07:2023,12:00:00,208,208.000000,0.722361,0.653307,0.620383,0.612136,0.699541,0.600835,0.519453,0.462681,0.901600,0.806460,0.776701,0.764144,-999.000000,3,3,3,3,3,3,3,3,3,3,3,3,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,28:07:2023,12:00:00,209,209.000000,0.715478,0.688653,0.691960,0.698082,0.658831,0.595736,0.545269,0.508088,0.826149,0.756729,0.751736,0.750445,-999.000000,5,5,5,5,5,5,5,5,5,5,5,5,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,30:07:2023,12:00:00,211,211.000000,0.653718,0.594039,0.571871,0.571279,0.634984,0.550729,0.489825,0.450224,0.938343,0.824749,0.788639,0.772837,-999.000000,6,6,6,6,6,6,6,6,6,6,6,6,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,31:07:2023,12:00:00,212,212.000000,0.686842,0.612918,0.573873,0.562685,0.672965,0.577420,0.500348,0.446475,0.965615,0.856088,0.819753,0.803059,-999.000000,2,2,2,2,2,2,2,2,2,2,2,2,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,01:08:2023,12:00:00,213,213.000000,0.662345,0.563212,0.517744,0.504843,0.650688,0.532827,0.457347,0.410805,0.946555,0.832709,0.788084,0.769674,-999.000000,3,3,3,3,3,3,3,3,3,3,3,3,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,04:08:2023,12:00:00,216,216.000000,0.649555,0.585597,0.546147,0.533199,0.636288,0.552846,0.471429,0.408761,0.876423,0.783216,0.756559,0.745208,-999.000000,1,1,1,1,1,1,1,1,1,1,1,1,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,10:08:2023,12:00:00,222,222.000000,0.688026,0.612283,0.554361,0.519824,0.681573,0.598136,0.522910,0.464647,0.919625,0.812268,0.776338,0.761169,-999.000000,4,4,4,4,4,4,4,4,4,4,4,4,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,11:08:2023,12:00:00,223,223.000000,0.683930,0.644856,0.623651,0.616817,0.663681,0.605540,0.546209,0.499588,0.966817,0.851977,0.817878,0.801052,-999.000000,1,1,1,1,1,1,1,1,1,1,1,1,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,12:08:2023,12:00:00,224,224.000000,0.677919,0.634999,0.632716,0.637156,0.643475,0.571038,0.522720,0.488500,0.999623,0.861919,0.834248,0.815142,-999.000000,4,4,4,4,4,4,4,4,4,4,4,4,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,14:08:2023,12:00:00,226,226.000000,0.679313,0.679291,0.695892,0.702044,0.624774,0.599744,0.574451,0.548185,0.983743,0.858213,0.846770,0.832914,-999.000000,1,1,1,1,1,1,1,1,1,1,1,1,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,16:08:2023,12:00:00,228,228.000000,0.699107,0.645249,0.596433,0.566997,0.691970,0.632996,0.571707,0.524673,0.957299,0.838625,0.796454,0.781516,-999.000000,4,4,4,4,4,4,4,4,4,4,4,4,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,17:08:2023,12:00:00,229,229.000000,0.701211,0.651688,0.651073,0.657788,0.630695,0.528491,0.459890,0.414877,0.948322,0.818956,0.789925,0.775786,-999.000000,2,2,2,2,2,2,2,2,2,2,2,2,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,18:08:2023,12:00:00,230,230.000000,0.683532,0.584022,0.520008,0.483640,0.679090,0.575078,0.501512,0.451084,0.957374,0.830606,0.782374,0.766012,-999.000000,2,2,2,2,2,2,2,2,2,2,2,2,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,19:08:2023,12:00:00,231,231.000000,0.676861,0.623739,0.573179,0.542085,0.668426,0.609726,0.546068,0.495817,0.973327,0.831281,0.779876,0.761072,-999.000000,3,3,3,3,3,3,3,3,3,3,3,3,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,22:08:2023,12:00:00,234,234.000000,0.714446,0.638677,0.591285,0.571816,0.701075,0.607942,0.529664,0.472006,0.938768,0.832254,0.792810,0.777677,-999.000000,5,5,5,5,5,5,5,5,5,5,5,5,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,24:08:2023,12:00:00,236,236.000000,0.696552,0.639573,0.617371,0.619780,0.662039,0.564524,0.475100,0.410117,0.901703,0.795094,0.762696,0.751601,-999.000000,5,5,5,5,5,5,5,5,5,5,5,5,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,25:08:2023,12:00:00,237,237.000000,0.735431,0.676284,0.659173,0.660224,0.691384,0.587684,0.509334,0.457434,0.892668,0.792591,0.767582,0.759347,-999.000000,5,5,5,5,5,5,5,5,5,5,5,5,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,27:08:2023,12:00:00,239,239.000000,0.729943,0.666822,0.620791,0.596484,0.721015,0.649467,0.586712,0.540422,0.993203,0.873101,0.830945,0.813374,-999.000000,2,2,2,2,2,2,2,2,2,2,2,2,0,40.053333,-88.371944,212.000000,lev20,Almucantar
