AERONET Data Download (Version 3 Direct Sun)
AERONET Version 3
Version 3: AOD Level 2.0
The following data are automatically cloud cleared and quality assured with pre-field and post-field calibration applied.
Contact: PI=Christopher_M.B._Lehmann_and_Pawan_Gupta_and_Elena_Lind; PI Email=clehmann@illinois.edu_and_pawan.gupta@nasa.gov_and_elena.lind@nasa.gov
AERONET_Site,Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_865nm,AOD_779nm,AOD_675nm,AOD_667nm,AOD_620nm,AOD_560nm,AOD_555nm,AOD_551nm,AOD_532nm,AOD_531nm,AOD_510nm,AOD_500nm,AOD_490nm,AOD_443nm,AOD_440nm,AOD_412nm,AOD_400nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),AOD_681nm,AOD_709nm,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,440-675_Angstrom_Exponent[Polar],N[AOD_1640nm],N[AOD_1020nm],N[AOD_870nm],N[AOD_865nm],N[AOD_779nm],N[AOD_675nm],N[AOD_667nm],N[AOD_620nm],N[AOD_560nm],N[AOD_555nm],N[AOD_551nm],N[AOD_532nm],N[AOD_531nm],N[AOD_510nm],N[AOD_500nm],N[AOD_490nm],N[AOD_443nm],N[AOD_440nm],N[AOD_412nm],N[AOD_400nm],N[AOD_380nm],N[AOD_340nm],N[Precipitable_Water(cm)],N[AOD_681nm],N[AOD_709nm],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[440-870_Angstrom_Exponent],N[380-500_Angstrom_Exponent],N[440-675_Angstrom_Exponent],N[500-870_Angstrom_Exponent],N[340-440_Angstrom_Exponent],N[440-675_Angstrom_Exponent[Polar]],Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m)
BONDVILLE,10:06:2023,12:00:00,161,0.057853,0.112779,0.139156,-999.,-999.,0.202338,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.320993,-999.,-999.,0.376791,-999.,-999.,0.452495,0.483744,1.708289,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.453059,1.238313,1.444263,1.483236,1.021561,-999.,77,77,77,0,0,77,0,0,0,0,0,0,0,0,77,0,0,77,0,0,77,73,77,0,0,0,0,0,0,0,77,77,77,77,77,0,lev20,732,BONDVILLE,40.053333,-88.371944,212.000000
BONDVILLE,11:06:2023,12:00:00,162,0.151566,0.227335,0.268448,-999.,-999.,0.364300,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.522422,-999.,-999.,0.593813,-999.,-999.,0.676179,0.723231,2.834716,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.189580,0.946050,1.167055,1.217601,0.780450,-999.,2,2,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,0,lev20,732,BONDVILLE,40.053333,-88.371944,212.000000
BONDVILLE,12:06:2023,12:00:00,163,0.019431,0.050891,0.068602,-999.,-999.,0.108252,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.176531,-999.,-999.,0.208438,-999.,-999.,0.245765,0.265061,1.185307,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.619331,1.185379,1.535133,1.677609,0.917489,-999.,83,82,83,0,0,83,0,0,0,0,0,0,0,0,83,0,0,83,0,0,82,83,83,0,0,0,0,0,0,0,83,83,83,83,83,0,lev20,732,BONDVILLE,40.053333,-88.371944,212.000000
BONDVILLE,13:06:2023,12:00:00,164,0.040781,0.076297,0.096991,-999.,-999.,0.142233,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.220759,-999.,-999.,0.258332,-999.,-999.,0.308365,0.332781,2.082815,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.445055,1.222940,1.409571,1.480722,1.005329,-999.,7,7,7,0,0,7,0,0,0,0,0,0,0,0,7,0,0,7,0,0,7,7,7,0,0,0,0,0,0,0,7,7,7,7,7,0,lev20,732,BONDVILLE,40.053333,-88.371944,212.000000
BONDVILLE,14:06:2023,12:00:00,165,0.152681,0.450324,0.627119,-999.,-999.,1.004953,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.547100,-999.,-999.,1.769247,-999.,-999.,1.976422,2.191572,2.635766,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.577055,0.906192,1.398947,1.675963,0.607971,-999.,56,56,56,0,0,56,0,0,0,0,0,0,0,0,56,0,0,55,0,0,54,48,56,0,0,0,0,0,0,0,56,55,56,56,54,0,lev20,732,BONDVILLE,40.053333,-88.371944,212.000000
BONDVILLE,15:06:2023,12:00:00,166,0.116545,0.262558,0.351496,-999.,-999.,0.542058,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.806708,-999.,-999.,0.905097,-999.,-999.,0.997450,1.016928,2.337972,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.440889,0.824307,1.277040,1.540069,0.549256,-999.,82,82,82,0,0,82,0,0,0,0,0,0,0,0,81,0,0,81,0,0,80,78,82,0,0,0,0,0,0,0,82,81,81,82,80,0,lev20,732,BONDVILLE,40.053333,-88.371944,212.000000
BONDVILLE,16:06:2023,12:00:00,167,-999.,0.144582,0.208459,-999.,-999.,0.348434,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.567117,-999.,-999.,0.657909,-999.,-999.,0.749348,0.779308,1.527149,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.699433,1.038244,1.520551,1.804944,0.742348,-999.,0,86,86,0,0,86,0,0,0,0,0,0,0,0,86,0,0,86,0,0,84,80,86,0,0,0,0,0,0,0,86,86,86,86,84,0,lev20,732,BONDVILLE,40.053333,-88.371944,212.000000
BONDVILLE,17:06:2023,12:00:00,168,0.036638,0.121030,0.174564,-999.,-999.,0.293674,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.489796,-999.,-999.,0.575120,-999.,-999.,0.674601,0.718377,1.672235,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.759206,1.168225,1.599450,1.856602,0.889079,-999.,123,122,123,0,0,123,0,0,0,0,0,0,0,0,123,0,0,123,0,0,122,119,123,0,0,0,0,0,0,0,123,123,123,123,122,0,lev20,732,BONDVILLE,40.053333,-88.371944,212.000000
BONDVILLE,18:06:2023,12:00:00,169,0.078836,0.181016,0.245029,-999.,-999.,0.389127,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.613270,-999.,-999.,0.707962,-999.,-999.,0.754576,0.702620,2.092424,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.556452,0.920908,1.414681,1.642209,0.581346,-999.,9,9,9,0,0,9,0,0,0,0,0,0,0,0,9,0,0,9,0,0,7,2,9,0,0,0,0,0,0,0,9,9,9,9,7,0,lev20,732,BONDVILLE,40.053333,-88.371944,212.000000
BONDVILLE,19:06:2023,12:00:00,170,0.056455,0.135961,0.185344,-999.,-999.,0.294889,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.470620,-999.,-999.,0.542501,-999.,-999.,0.628860,0.662718,2.549280,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.588186,1.058156,1.453907,1.676985,0.790462,-999.,46,46,46,0,0,46,0,0,0,0,0,0,0,0,46,0,0,46,0,0,46,43,46,0,0,0,0,0,0,0,46,46,46,46,46,0,lev20,732,BONDVILLE,40.053333,-88.371944,212.000000
BONDVILLE,20:06:2023,12:00:00,171,0.040002,0.105373,0.146547,-999.,-999.,0.237843,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.387483,-999.,-999.,0.450035,-999.,-999.,0.527769,0.560138,2.425542,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.661123,1.128448,1.522826,1.752757,0.861392,-999.,121,121,121,0,0,121,0,0,0,0,0,0,0,0,121,0,0,121,0,0,121,119,121,0,0,0,0,0,0,0,121,121,121,121,121,0,lev20,732,BONDVILLE,40.053333,-88.371944,212.000000
BONDVILLE,21:06:2023,12:00:00,172,0.026495,0.061462,0.083831,-999.,-999.,0.130990,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.211611,-999.,-999.,0.244579,-999.,-999.,0.291821,0.306133,2.547579,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.589370,1.172419,1.492155,1.666782,0.896125,-999.,108,107,108,0,0,108,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,107,108,0,0,0,0,0,0,0,108,108,108,108,108,0,lev20,732,BONDVILLE,40.053333,-88.371944,212.000000
BONDVILLE,22:06:2023,12:00:00,173,0.066834,0.134114,0.175625,-999.,-999.,0.268407,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.417809,-999.,-999.,0.481226,-999.,-999.,0.553481,0.579365,2.404963,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.498329,1.025667,1.393179,1.570115,0.745590,-999.,36,36,36,0,0,36,0,0,0,0,0,0,0,0,36,0,0,36,0,0,36,35,36,0,0,0,0,0,0,0,36,36,36,36,36,0,lev20,732,BONDVILLE,40.053333,-88.371944,212.000000
BONDVILLE,23:06:2023,12:00:00,174,0.046517,0.130094,0.184473,-999.,-999.,0.308681,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.526482,-999.,-999.,0.593332,-999.,-999.,0.719282,0.776984,2.591400,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.800421,1.298456,1.669633,1.888758,1.069165,-999.,15,15,15,0,0,15,0,0,0,0,0,0,0,0,15,0,0,14,0,0,14,14,15,0,0,0,0,0,0,0,15,14,15,15,14,0,lev20,732,BONDVILLE,40.053333,-88.371944,212.000000
BONDVILLE,24:06:2023,12:00:00,175,0.053360,0.119152,0.161622,-999.,-999.,0.259243,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.428984,-999.,-999.,0.504160,-999.,-999.,0.594621,0.619334,2.418088,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.660483,1.235941,1.566530,1.734194,0.981409,-999.,127,127,127,0,0,127,0,0,0,0,0,0,0,0,127,0,0,127,0,0,125,118,127,0,0,0,0,0,0,0,127,127,127,127,125,0,lev20,732,BONDVILLE,40.053333,-88.371944,212.000000
BONDVILLE,25:06:2023,12:00:00,176,0.038515,0.051622,0.058999,-999.,-999.,0.071792,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.105596,-999.,-999.,0.119236,-999.,-999.,0.156331,0.165936,2.386022,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.995635,1.470381,1.140461,1.000914,1.412157,-999.,101,101,101,0,0,101,0,0,0,0,0,0,0,0,101,0,0,101,0,0,101,101,101,0,0,0,0,0,0,0,101,101,101,101,101,0,lev20,732,BONDVILLE,40.053333,-88.371944,212.000000
BONDVILLE,26:06:2023,12:00:00,177,0.038073,0.102944,0.142728,-999.,-999.,0.230086,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.375285,-999.,-999.,0.435444,-999.,-999.,0.507285,0.517172,3.007781,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.647216,1.138144,1.531215,1.734921,0.908103,-999.,14,14,14,0,0,14,0,0,0,0,0,0,0,0,14,0,0,14,0,0,14,13,14,0,0,0,0,0,0,0,14,14,14,14,14,0,lev20,732,BONDVILLE,40.053333,-88.371944,212.000000
BONDVILLE,27:06:2023,12:00:00,178,0.164616,0.527726,0.745341,-999.,-999.,1.203590,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.811329,-999.,-999.,2.018379,-999.,-999.,2.168976,2.188490,2.248191,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.550458,0.786162,1.322668,1.648948,0.444527,-999.,113,113,113,0,0,113,0,0,0,0,0,0,0,0,104,0,0,99,0,0,94,92,113,0,0,0,0,0,0,0,113,99,104,113,94,0,lev20,732,BONDVILLE,40.053333,-88.371944,212.000000
BONDVILLE,28:06:2023,12:00:00,179,0.251030,0.586596,0.779068,-999.,-999.,1.168640,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.626555,-999.,-999.,1.704168,-999.,-999.,1.737341,1.745652,2.179911,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.302864,0.481459,1.071572,1.384447,0.106482,-999.,30,30,30,0,0,30,0,0,0,0,0,0,0,0,27,0,0,22,0,0,20,19,30,0,0,0,0,0,0,0,30,22,27,30,20,0,lev20,732,BONDVILLE,40.053333,-88.371944,212.000000
BONDVILLE,29:06:2023,12:00:00,180,0.173351,0.248815,0.297068,-999.,-999.,0.407593,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.604877,-999.,-999.,0.698126,-999.,-999.,0.816057,0.881027,4.826748,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.265834,1.089377,1.271244,1.283479,0.913562,-999.,2,2,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,0,lev20,732,BONDVILLE,40.053333,-88.371944,212.000000
BONDVILLE,30:06:2023,12:00:00,181,0.077367,0.112191,0.135071,-999.,-999.,0.188779,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.294907,-999.,-999.,0.345689,-999.,-999.,0.417399,0.450627,4.030141,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.374540,1.264479,1.409755,1.386518,1.097299,-999.,31,32,32,0,0,32,0,0,0,0,0,0,0,0,32,0,0,32,0,0,32,30,32,0,0,0,0,0,0,0,32,32,32,32,32,0,lev20,732,BONDVILLE,40.053333,-88.371944,212.000000
BONDVILLE,01:07:2023,12:00:00,182,0.040666,0.058579,0.070907,-999.,-999.,0.093717,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.149257,-999.,-999.,0.169763,-999.,-999.,0.218578,0.236973,4.128094,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.327123,1.398981,1.425221,1.352523,1.322379,-999.,3,3,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,3,3,0,0,0,0,0,0,0,3,3,3,3,3,0,lev20,732,BONDVILLE,40.053333,-88.371944,212.000000
BONDVILLE,02:07:2023,12:00:00,183,0.013657,0.031878,0.041677,-999.,-999.,0.059848,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.101454,-999.,-999.,0.115615,-999.,-999.,0.152252,0.159656,3.624622,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.506327,1.454393,1.550511,1.580164,1.473251,-999.,6,8,8,0,0,8,0,0,0,0,0,0,0,0,8,0,0,8,0,0,8,7,8,0,0,0,0,0,0,0,8,8,8,8,8,0,lev20,732,BONDVILLE,40.053333,-88.371944,212.000000
BONDVILLE,03:07:2023,12:00:00,184,0.030684,0.068947,0.095088,-999.,-999.,0.152384,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.257752,-999.,-999.,0.303510,-999.,-999.,0.373594,0.402283,3.112817,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.720192,1.363544,1.642683,1.795906,1.136584,-999.,57,57,57,0,0,57,0,0,0,0,0,0,0,0,57,0,0,57,0,0,57,57,57,0,0,0,0,0,0,0,57,57,57,57,57,0,lev20,732,BONDVILLE,40.053333,-88.371944,212.000000
BONDVILLE,04:07:2023,12:00:00,185,0.026396,0.058007,0.079217,-999.,-999.,0.125960,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.219559,-999.,-999.,0.260893,-999.,-999.,0.332271,0.363411,3.151206,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.773659,1.516955,1.733927,1.838727,1.314997,-999.,90,90,90,0,0,90,0,0,0,0,0,0,0,0,90,0,0,90,0,0,90,90,90,0,0,0,0,0,0,0,90,90,90,90,90,0,lev20,732,BONDVILLE,40.053333,-88.371944,212.000000
BONDVILLE,05:07:2023,12:00:00,186,0.061350,0.092691,0.113828,-999.,-999.,0.163098,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.263055,-999.,-999.,0.312251,-999.,-999.,0.382810,0.419561,3.795637,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.571723,1.385866,1.582444,1.595795,1.171498,-999.,39,39,39,0,0,39,0,0,0,0,0,0,0,0,39,0,0,39,0,0,39,39,39,0,0,0,0,0,0,0,39,39,39,39,39,0,lev20,732,BONDVILLE,40.053333,-88.371944,212.000000
BONDVILLE,06:07:2023,12:00:00,187,0.022453,0.043822,0.057979,-999.,-999.,0.086824,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.150365,-999.,-999.,0.177283,-999.,-999.,0.229891,0.251788,2.758970,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.670874,1.561400,1.702676,1.717741,1.398143,-999.,22,23,23,0,0,23,0,0,0,0,0,0,0,0,23,0,0,23,0,0,23,23,23,0,0,0,0,0,0,0,23,23,23,23,23,0,lev20,732,BONDVILLE,40.053333,-88.371944,212.000000
BONDVILLE,07:07:2023,12:00:00,188,0.051286,0.065247,0.074065,-999.,-999.,0.093406,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.139846,-999.,-999.,0.164105,-999.,-999.,0.207251,0.225706,2.427198,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.261168,1.473560,1.381747,1.233253,1.280039,-999.,44,44,44,0,0,44,0,0,0,0,0,0,0,0,44,0,0,44,0,0,44,44,44,0,0,0,0,0,0,0,44,44,44,44,44,0,lev20,732,BONDVILLE,40.053333,-88.371944,212.000000
BONDVILLE,08:07:2023,12:00:00,189,0.024569,0.061839,0.084428,-999.,-999.,0.134359,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.217986,-999.,-999.,0.253537,-999.,-999.,0.299919,0.323599,2.265337,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.627528,1.162894,1.512408,1.709065,0.960511,-999.,17,17,17,0,0,17,0,0,0,0,0,0,0,0,17,0,0,17,0,0,17,17,17,0,0,0,0,0,0,0,17,17,17,17,17,0,lev20,732,BONDVILLE,40.053333,-88.371944,212.000000
BONDVILLE,09:07:2023,12:00:00,190,0.023456,0.045695,0.060008,-999.,-999.,0.091679,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.155311,-999.,-999.,0.184262,-999.,-999.,0.237890,0.265342,2.232107,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.666954,1.565239,1.658219,1.714687,1.451940,-999.,82,82,82,0,0,82,0,0,0,0,0,0,0,0,82,0,0,82,0,0,82,82,82,0,0,0,0,0,0,0,82,82,82,82,82,0,lev20,732,BONDVILLE,40.053333,-88.371944,212.000000
BONDVILLE,10:07:2023,12:00:00,191,0.019832,0.039834,0.052256,-999.,-999.,0.078702,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.134819,-999.,-999.,0.160799,-999.,-999.,0.209675,0.232612,2.173602,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.669535,1.619146,1.693393,1.702595,1.453451,-999.,82,82,82,0,0,82,0,0,0,0,0,0,0,0,82,0,0,82,0,0,82,82,82,0,0,0,0,0,0,0,82,82,82,82,82,0,lev20,732,BONDVILLE,40.053333,-88.371944,212.000000
BONDVILLE,11:07:2023,12:00:00,192,0.028916,0.057399,0.075108,-999.,-999.,0.112940,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.189100,-999.,-999.,0.223076,-999.,-999.,0.281682,0.310258,2.926129,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.628713,1.473021,1.630366,1.672827,1.322854,-999.,111,111,111,0,0,111,0,0,0,0,0,0,0,0,111,0,0,111,0,0,111,111,111,0,0,0,0,0,0,0,111,111,111,111,111,0,lev20,732,BONDVILLE,40.053333,-88.371944,212.000000
