AERONET Data Download (Version 3 Direct Sun and Inversion Algorithms)
AERONET Version 3
BONDVILLE
Version 3: Almucantar Level 2.0 Inversion
The following data are automatically cloud cleared and quality assured with pre-field and post-field calibration applied.
Daily Averages,Contact: PI=Christopher_M.B._Lehmann_and_Pawan_Gupta_and_Elena_Lind; PI Email=clehmann@illinois.edu_and_pawan.gupta@nasa.gov_and_elena.lind@nasa.gov 
AERONET_AERONET_Site,Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,Day_of_Year(fraction),Single_Scattering_Albedo[440nm],Single_Scattering_Albedo[675nm],Single_Scattering_Albedo[870nm],Single_Scattering_Albedo[1020nm],N[Single_Scattering_Albedo[440nm]],N[Single_Scattering_Albedo[675nm]],N[Single_Scattering_Albedo[870nm]],N[Single_Scattering_Albedo[1020nm]],Latitude(Degrees),Longitude(Degrees),Elevation(m),Level,Retrieval_Measurement_Scan_Type
BONDVILLE,05:05:2023,12:00:00,125,125.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,09:05:2023,12:00:00,129,129.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,10:05:2023,12:00:00,130,130.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,17:05:2023,12:00:00,137,137.000000,0.954057,0.947500,0.930586,0.917757,7,7,7,7,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,18:05:2023,12:00:00,138,138.000000,0.951367,0.953467,0.939833,0.928733,3,3,3,3,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,20:05:2023,12:00:00,140,140.000000,0.959700,0.951325,0.935050,0.922450,4,4,4,4,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,21:05:2023,12:00:00,141,141.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,23:05:2023,12:00:00,143,143.000000,0.951300,0.944750,0.927900,0.916900,2,2,2,2,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,24:05:2023,12:00:00,144,144.000000,0.951560,0.942560,0.921600,0.907680,5,5,5,5,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,25:05:2023,12:00:00,145,145.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,26:05:2023,12:00:00,146,146.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,27:05:2023,12:00:00,147,147.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,31:05:2023,12:00:00,151,151.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,01:06:2023,12:00:00,152,152.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,02:06:2023,12:00:00,153,153.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,03:06:2023,12:00:00,154,154.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,04:06:2023,12:00:00,155,155.000000,0.931800,0.944300,0.938700,0.931400,1,1,1,1,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,05:06:2023,12:00:00,156,156.000000,0.933575,0.931350,0.912075,0.898050,4,4,4,4,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,07:06:2023,12:00:00,158,158.000000,0.952800,0.948680,0.933380,0.920280,5,5,5,5,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,08:06:2023,12:00:00,159,159.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,09:06:2023,12:00:00,160,160.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,10:06:2023,12:00:00,161,161.000000,0.956800,0.941750,0.921650,0.906600,2,2,2,2,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,12:06:2023,12:00:00,163,163.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,14:06:2023,12:00:00,165,165.000000,0.971100,0.967200,0.959100,0.951900,1,1,1,1,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,15:06:2023,12:00:00,166,166.000000,0.951467,0.958300,0.947233,0.937767,3,3,3,3,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,16:06:2023,12:00:00,167,167.000000,0.961820,0.959780,0.949560,0.939380,5,5,5,5,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,17:06:2023,12:00:00,168,168.000000,0.962550,0.957850,0.945233,0.934533,6,6,6,6,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,20:06:2023,12:00:00,171,171.000000,0.951525,0.945400,0.925425,0.909975,4,4,4,4,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,21:06:2023,12:00:00,172,172.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,24:06:2023,12:00:00,175,175.000000,0.962675,0.955825,0.942500,0.932150,4,4,4,4,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,25:06:2023,12:00:00,176,176.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,26:06:2023,12:00:00,177,177.000000,0.973850,0.967650,0.957250,0.949350,2,2,2,2,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,27:06:2023,12:00:00,178,178.000000,0.972567,0.973517,0.968750,0.964200,6,6,6,6,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,30:06:2023,12:00:00,181,181.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,03:07:2023,12:00:00,184,184.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,04:07:2023,12:00:00,185,185.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,05:07:2023,12:00:00,186,186.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,07:07:2023,12:00:00,188,188.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,08:07:2023,12:00:00,189,189.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,09:07:2023,12:00:00,190,190.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,10:07:2023,12:00:00,191,191.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,11:07:2023,12:00:00,192,192.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,12:07:2023,12:00:00,193,193.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,14:07:2023,12:00:00,195,195.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,16:07:2023,12:00:00,197,197.000000,0.942900,0.954250,0.946400,0.939450,2,2,2,2,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,17:07:2023,12:00:00,198,198.000000,0.968050,0.967250,0.961100,0.955250,2,2,2,2,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,18:07:2023,12:00:00,199,199.000000,0.955120,0.949280,0.932980,0.921300,5,5,5,5,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,20:07:2023,12:00:00,201,201.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,22:07:2023,12:00:00,203,203.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,23:07:2023,12:00:00,204,204.000000,0.974300,0.979500,0.976700,0.974200,1,1,1,1,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,24:07:2023,12:00:00,205,205.000000,0.957333,0.961217,0.946633,0.937867,6,6,6,6,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,25:07:2023,12:00:00,206,206.000000,0.957900,0.961800,0.947550,0.938700,2,2,2,2,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,26:07:2023,12:00:00,207,207.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,27:07:2023,12:00:00,208,208.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,28:07:2023,12:00:00,209,209.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,30:07:2023,12:00:00,211,211.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,31:07:2023,12:00:00,212,212.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,01:08:2023,12:00:00,213,213.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,04:08:2023,12:00:00,216,216.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,10:08:2023,12:00:00,222,222.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,11:08:2023,12:00:00,223,223.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,12:08:2023,12:00:00,224,224.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,14:08:2023,12:00:00,226,226.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,16:08:2023,12:00:00,228,228.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,17:08:2023,12:00:00,229,229.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,18:08:2023,12:00:00,230,230.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,19:08:2023,12:00:00,231,231.000000,0.954700,0.958700,0.950433,0.942433,3,3,3,3,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,22:08:2023,12:00:00,234,234.000000,0.983300,0.984700,0.982200,0.980100,1,1,1,1,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,24:08:2023,12:00:00,236,236.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,25:08:2023,12:00:00,237,237.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,27:08:2023,12:00:00,239,239.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,28:08:2023,12:00:00,240,240.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,29:08:2023,12:00:00,241,241.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,30:08:2023,12:00:00,242,242.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,31:08:2023,12:00:00,243,243.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,01:09:2023,12:00:00,244,244.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,02:09:2023,12:00:00,245,245.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,09:09:2023,12:00:00,252,252.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,10:09:2023,12:00:00,253,253.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,13:09:2023,12:00:00,256,256.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,14:09:2023,12:00:00,257,257.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,15:09:2023,12:00:00,258,258.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,19:09:2023,12:00:00,262,262.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,23:09:2023,12:00:00,266,266.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,29:09:2023,12:00:00,272,272.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,30:09:2023,12:00:00,273,273.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,01:10:2023,12:00:00,274,274.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,02:10:2023,12:00:00,275,275.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,03:10:2023,12:00:00,276,276.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,04:10:2023,12:00:00,277,277.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,06:10:2023,12:00:00,279,279.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,07:10:2023,12:00:00,280,280.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,09:10:2023,12:00:00,282,282.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,10:10:2023,12:00:00,283,283.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,12:10:2023,12:00:00,285,285.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,15:10:2023,12:00:00,288,288.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,17:10:2023,12:00:00,290,290.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,20:10:2023,12:00:00,293,293.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,21:10:2023,12:00:00,294,294.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,22:10:2023,12:00:00,295,295.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,23:10:2023,12:00:00,296,296.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,30:10:2023,12:00:00,303,303.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,31:10:2023,12:00:00,304,304.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,01:11:2023,12:00:00,305,305.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,02:11:2023,12:00:00,306,306.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,05:11:2023,12:00:00,309,309.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,07:11:2023,12:00:00,311,311.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,08:11:2023,12:00:00,312,312.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,10:11:2023,12:00:00,314,314.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,11:11:2023,12:00:00,315,315.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,12:11:2023,12:00:00,316,316.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,13:11:2023,12:00:00,317,317.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,14:11:2023,12:00:00,318,318.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,15:11:2023,12:00:00,319,319.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,16:11:2023,12:00:00,320,320.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,17:11:2023,12:00:00,321,321.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,18:11:2023,12:00:00,322,322.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,19:11:2023,12:00:00,323,323.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,23:11:2023,12:00:00,327,327.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,25:11:2023,12:00:00,329,329.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,27:11:2023,12:00:00,331,331.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,28:11:2023,12:00:00,332,332.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,29:11:2023,12:00:00,333,333.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,07:12:2023,12:00:00,341,341.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,09:12:2023,12:00:00,343,343.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,11:12:2023,12:00:00,345,345.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,12:12:2023,12:00:00,346,346.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,14:12:2023,12:00:00,348,348.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,40.053333,-88.371944,212.000000,lev20,Almucantar
